ID,CustomerName,CustomerType,DateStarted,Duration,gender,Age,Salary,ReviewDuration,RelatedDuration,Purchased
10295,"Duffitt,Ogdan ",4,2018-03-09 12:01:00,398.01,Male,33,193,23,66,0
10296,Rachele Jenoure,4,2018-03-09 15:46:00,16.95,Female,26,196,20,,1
10297,"Steadman,Pete ",3,2018-03-09 04:55:00,791.05,Male,50,162,65,65,0
10298,Felicdad Goodbanne,3,2018-03-09 01:36:00,569.46,Female,43,156,45,,1
10299,Inge Brachell,4,2018-03-09 18:52:00,521.2,Female,24,144,,,0
10300,"Brittian,Bogart ",1,2018-03-09 16:14:00,383.16,Male,43,29,,,1
10301,Jeralee Frood,2,2018-03-09 09:46:00,127.83,Female,52,171,,,0
10302,"Caw,Alfie ",1,2018-03-09 18:43:00,735.31,Male,75,102,,,0
10303,Torie Mighele,4,2018-03-09 11:03:00,125.92,Female,44,181,,,0
10304,"McRinn,Ralf ",2,2018-03-09 01:44:00,801.09,Male,24,174,87,,1
10305,"Simeoli,Barnebas ",1,2018-03-09 21:38:00,456.22,Male,78,196,43,,0
10306,Maressa Boddie,2,2018-03-09 01:06:00,281.77,Female,56,96,47,24,0
10307,Thomasine Papis,4,2018-03-09 05:23:00,65.63,Female,53,60,54,,0
10308,Faythe Wollrauch,4,2018-03-09 19:13:00,527.02,Female,18,87,69,,0
10309,"Frankiewicz,Launce ",4,2018-03-09 10:33:00,831.94,Male,23,117,36,,0
10310,Frankie Conyers,3,2018-03-09 20:18:00,870.89,Female,60,125,,,0
